match_id,patch,placement,level,last_round,gold_left,time_eliminated,traits,trait_tiers,augments,units
NA1_5567002511,Version.10,3,9,34,40,1954.82763671875,"TFT17_AssassinTrait,TFT17_Astronaut,TFT17_Fateweaver,TFT17_ResistTank,TFT17_RhaastUniqueTrait,TFT17_ShenUniqueTrait,TFT17_ShieldTank,TFT17_Timebreaker","TFT17_AssassinTrait:2,TFT17_Astronaut:3,TFT17_Fateweaver:1,TFT17_ResistTank:2,TFT17_RhaastUniqueTrait:1,TFT17_ShenUniqueTrait:1,TFT17_ShieldTank:1,TFT17_Timebreaker:1",,"TFT17_Poppy,TFT17_Milio,TFT17_Fizz,TFT17_Rhaast,TFT17_Rammus,TFT17_Corki,TFT17_Riven,TFT17_Bard,TFT17_Shen"
NA1_5567002511,Version.10,6,8,30,0,1714.0352783203125,"TFT17_DarkStar,TFT17_FlexTrait,TFT17_HPTank,TFT17_JhinUniqueTrait,TFT17_RangedTrait,TFT17_ShieldTank,TFT17_TahmKenchUniqueTrait","TFT17_DarkStar:3,TFT17_FlexTrait:1,TFT17_HPTank:1,TFT17_JhinUniqueTrait:1,TFT17_RangedTrait:1,TFT17_ShieldTank:1,TFT17_TahmKenchUniqueTrait:1",,"TFT17_Chogath,TFT17_Mordekaiser,TFT17_Illaoi,TFT17_Kaisa,TFT17_Karma,TFT17_Galio,TFT17_TahmKench,TFT17_Jhin"
NA1_5567002511,Version.10,4,8,33,22,1889.8011474609375,"TFT17_AssassinTrait,TFT17_Astronaut,TFT17_Fateweaver,TFT17_FlexTrait,TFT17_ResistTank,TFT17_Timebreaker","TFT17_AssassinTrait:1,TFT17_Astronaut:2,TFT17_Fateweaver:1,TFT17_FlexTrait:1,TFT17_ResistTank:1,TFT17_Timebreaker:1",,"TFT17_Poppy,TFT17_Milio,TFT17_IvernMinion,TFT17_Fizz,TFT17_Rammus,TFT17_Corki,TFT17_Galio,TFT17_Riven"
NA1_5567002511,Version.10,1,9,35,8,2018.114013671875,"TFT17_APTrait,TFT17_DRX,TFT17_Fateweaver,TFT17_HPTank,TFT17_JhinUniqueTrait,TFT17_ResistTank,TFT17_RhaastUniqueTrait,TFT17_Stargazer_Medallion,TFT17_Timebreaker","TFT17_APTrait:1,TFT17_DRX:1,TFT17_Fateweaver:1,TFT17_HPTank:1,TFT17_JhinUniqueTrait:1,TFT17_ResistTank:1,TFT17_RhaastUniqueTrait:1,TFT17_Stargazer_Medallion:1,TFT17_Timebreaker:1",,"TFT17_Aatrox,TFT17_TwistedFate,TFT17_Jax,TFT17_Milio,TFT17_Pantheon,TFT17_Maokai,TFT17_Lulu,TFT17_Rhaast,TFT17_Jhin"
NA1_5567002511,Version.10,5,9,31,3,1777.787109375,"TFT17_ASTrait,TFT17_DRX,TFT17_FioraUniqueTrait,TFT17_HPTank,TFT17_MeleeTrait,TFT17_Primordian,TFT17_PsyOps,TFT17_TahmKenchUniqueTrait","TFT17_ASTrait:2,TFT17_DRX:1,TFT17_FioraUniqueTrait:1,TFT17_HPTank:3,TFT17_MeleeTrait:2,TFT17_Primordian:2,TFT17_PsyOps:1,TFT17_TahmKenchUniqueTrait:1",,"TFT17_RekSai,TFT17_Belveth,TFT17_Gragas,TFT17_Maokai,TFT17_Urgot,TFT17_Kindred,TFT17_MasterYi,TFT17_TahmKench,TFT17_Fiora"
NA1_5567002511,Version.10,8,8,26,48,1512.217529296875,"TFT17_ASTrait,TFT17_DRX,TFT17_FioraUniqueTrait,TFT17_HPTank,TFT17_MeleeTrait,TFT17_PsyOps,TFT17_TahmKenchUniqueTrait","TFT17_ASTrait:1,TFT17_DRX:1,TFT17_FioraUniqueTrait:1,TFT17_HPTank:2,TFT17_MeleeTrait:2,TFT17_PsyOps:1,TFT17_TahmKenchUniqueTrait:1",,"TFT17_Belveth,TFT17_Gragas,TFT17_Maokai,TFT17_Urgot,TFT17_Kindred,TFT17_MasterYi,TFT17_TahmKench,TFT17_Fiora"
NA1_5567654711,Version.10,1,10,37,9,2127.1689453125,"TFT17_DRX,TFT17_FioraUniqueTrait,TFT17_GravesTrait,TFT17_HPTank,TFT17_JhinUniqueTrait,TFT17_MeleeTrait,TFT17_ResistTank,TFT17_RhaastUniqueTrait,TFT17_ShenUniqueTrait,TFT17_TahmKenchUniqueTrait,TFT17_VexUniqueTrait","TFT17_DRX:1,TFT17_FioraUniqueTrait:1,TFT17_GravesTrait:1,TFT17_HPTank:1,TFT17_JhinUniqueTrait:1,TFT17_MeleeTrait:1,TFT17_ResistTank:1,TFT17_RhaastUniqueTrait:1,TFT17_ShenUniqueTrait:1,TFT17_TahmKenchUniqueTrait:1,TFT17_VexUniqueTrait:1",,"TFT17_Aatrox,TFT17_Akali,TFT17_Maokai,TFT17_Rhaast,TFT17_TahmKench,TFT17_Fiora,TFT17_Jhin,TFT17_Vex,TFT17_Shen,TFT17_Graves"
NA1_5567654711,Version.10,7,8,28,3,1674.547607421875,"TFT17_AssassinTrait,TFT17_Astronaut,TFT17_Fateweaver,TFT17_FlexTrait,TFT17_ResistTank,TFT17_Timebreaker","TFT17_AssassinTrait:1,TFT17_Astronaut:2,TFT17_Fateweaver:1,TFT17_FlexTrait:1,TFT17_ResistTank:1,TFT17_Timebreaker:1",,"TFT17_Poppy,TFT17_Milio,TFT17_IvernMinion,TFT17_Fizz,TFT17_Rammus,TFT17_Corki,TFT17_Galio,TFT17_Riven"
NA1_5567654711,Version.10,8,8,24,2,1413.331298828125,"TFT17_DRX,TFT17_HPTank,TFT17_RangedTrait,TFT17_ResistTank,TFT17_RhaastUniqueTrait,TFT17_SpaceGroove,TFT17_Stargazer_Shield,TFT17_TahmKenchUniqueTrait","TFT17_DRX:1,TFT17_HPTank:1,TFT17_RangedTrait:2,TFT17_ResistTank:1,TFT17_RhaastUniqueTrait:1,TFT17_SpaceGroove:1,TFT17_Stargazer_Shield:1,TFT17_TahmKenchUniqueTrait:1",,"TFT17_Aatrox,TFT17_Jax,TFT17_Maokai,TFT17_Samira,TFT17_Rhaast,TFT17_Nunu,TFT17_Xayah,TFT17_TahmKench"
NA1_5567654711,Version.10,4,10,34,0,1991.074462890625,"TFT17_ADMIN,TFT17_BlitzcrankUniqueTrait,TFT17_DarkStar,TFT17_FlexTrait,TFT17_ManaTrait,TFT17_ResistTank,TFT17_ShenUniqueTrait,TFT17_ShieldTank,TFT17_SpaceGroove,TFT17_SummonTrait","TFT17_ADMIN:1,TFT17_BlitzcrankUniqueTrait:1,TFT17_DarkStar:1,TFT17_FlexTrait:1,TFT17_ManaTrait:1,TFT17_ResistTank:1,TFT17_ShenUniqueTrait:1,TFT17_ShieldTank:3,TFT17_SpaceGroove:1,TFT17_SummonTrait:1",,"TFT17_Leona,TFT17_IvernMinion,TFT17_Mordekaiser,TFT17_Illaoi,TFT17_Karma,TFT17_AurelionSol,TFT17_Nunu,TFT17_Leblanc,TFT17_Blitzcrank,TFT17_Shen,TFT17_Summon"
NA1_5567654711,Version.10,3,10,35,9,2055.51171875,"TFT17_BlitzcrankUniqueTrait,TFT17_DarkStar,TFT17_FlexTrait,TFT17_GravesTrait,TFT17_ManaTrait,TFT17_ShieldTank,TFT17_SonaUniqueTrait,TFT17_SpaceGroove,TFT17_SummonTrait","TFT17_BlitzcrankUniqueTrait:1,TFT17_DarkStar:1,TFT17_FlexTrait:1,TFT17_GravesTrait:1,TFT17_ManaTrait:1,TFT17_ShieldTank:2,TFT17_SonaUniqueTrait:1,TFT17_SpaceGroove:1,TFT17_SummonTrait:1",,"TFT17_IvernMinion,TFT17_Mordekaiser,TFT17_Illaoi,TFT17_Karma,TFT17_Nunu,TFT17_Bard,TFT17_Blitzcrank,TFT17_Blitzcrank,TFT17_Sona,TFT17_Graves,TFT17_Summon"
NA1_5567654711,Version.10,5,8,28,45,1668.8900146484375,"TFT17_AssassinTrait,TFT17_Astronaut,TFT17_Fateweaver,TFT17_FlexTrait,TFT17_ResistTank,TFT17_SpaceGroove,TFT17_Timebreaker","TFT17_AssassinTrait:1,TFT17_Astronaut:2,TFT17_Fateweaver:1,TFT17_FlexTrait:1,TFT17_ResistTank:1,TFT17_SpaceGroove:1,TFT17_Timebreaker:1",,"TFT17_Poppy,TFT17_Milio,TFT17_IvernMinion,TFT17_Fizz,TFT17_Rammus,TFT17_Corki,TFT17_Galio,TFT17_Riven"
NA1_5567654711,Version.10,6,8,28,19,1673.996826171875,"TFT17_Astronaut,TFT17_DarkStar,TFT17_JhinUniqueTrait,TFT17_ManaTrait,TFT17_RangedTrait,TFT17_ResistTank,TFT17_RhaastUniqueTrait,TFT17_ShieldTank,TFT17_Stargazer_Shield","TFT17_Astronaut:1,TFT17_DarkStar:1,TFT17_JhinUniqueTrait:1,TFT17_ManaTrait:1,TFT17_RangedTrait:3,TFT17_ResistTank:1,TFT17_RhaastUniqueTrait:1,TFT17_ShieldTank:1,TFT17_Stargazer_Shield:1",,"TFT17_Gnar,TFT17_Jax,TFT17_Mordekaiser,TFT17_Rhaast,TFT17_Rammus,TFT17_Nunu,TFT17_Xayah,TFT17_Bard,TFT17_Jhin"
NA1_5567654711,Version.10,2,9,37,7,2125.36669921875,"TFT17_ASTrait,TFT17_DRX,TFT17_FioraUniqueTrait,TFT17_HPTank,TFT17_MeleeTrait,TFT17_PsyOps,TFT17_RhaastUniqueTrait,TFT17_TahmKenchUniqueTrait","TFT17_ASTrait:1,TFT17_DRX:1,TFT17_FioraUniqueTrait:1,TFT17_HPTank:2,TFT17_MeleeTrait:2,TFT17_PsyOps:1,TFT17_RhaastUniqueTrait:1,TFT17_TahmKenchUniqueTrait:1",,"TFT17_Belveth,TFT17_Gragas,TFT17_Maokai,TFT17_Urgot,TFT17_Rhaast,TFT17_Kindred,TFT17_MasterYi,TFT17_TahmKench,TFT17_Fiora"
